,text_token
17,"['bfan1liapi', 'fani', 'sorry', 'get', 'back', 'hope', 'youre', 'keep', 'well', 'the', 'team', 'inundaxe2x80xa6', 'httpstco7zqblstusg']"
18,"['bhelen01530301', 'helen', 'sorry', 'get', 'back', 'hope', 'youre', 'keep', 'well', 'could', 'pleaxe2x80xa6', 'httpstcoej8hee89gm']"
19,"['babdelbigmac', 'please', 'call', 'dispute', 'team', 'best', 'answer', 'quickly', 'possible', 'the', 'number', 'isxe2x80xa6', 'httpstcok9bpwvbaok']"
20,"['bbikerbabe108sc1', 'youxe2x80x99d', 'like', 'refund', 'another', 'account', 'enternyour', 'account', 'namenyour', 'account', 'numbernyour', 'accoxe2x80xa6', 'httpstcoz0ehnirwqh']"
21,"['bbikerbabe108sc1', 'enter', 'title', 'xe2x80x98credit', 'balance', 'refundxe2x80x99nif', 'youxe2x80x99d', 'like', 'refund', 'transfer', 'accountxe2x80xa6', 'httpstconqowiopxed']"
22,"['bbikerbabe108sc1', 'dont', 'form', 'youd', 'send', 'secure', 'message', 'follow', 'stxe2x80xa6', 'httpstcon5ojglmzxw']"
23,"['bmonstrousfemme', 'reply', 'wait', 'speak', 'phone', 'did', 'youxe2x80xa6', 'httpstcojkryk9lpun']"
24,"['bnaeem_raja', 'naeem', 'sorry', 'get', 'back', 'hope', 'youre', 'keep', 'well', 'the', 'team', 'inunxe2x80xa6', 'httpstcounijm3kjew']"
25,"['bvinialovell', 'vinia', 'reply', 'wait', 'speak', 'we', 'less', 'staff', 'answerxe2x80xa6', 'httpstcopwxqnpwpex']"
26,"['brickbalbert', 'thats', 'great', 'hear', 'rick', 'anything', 'else', 'please', 'let', 'know', 'lisa']"
27,"['bthom41686633', 'thom', 'sorry', 'get', 'back', 'we', 'respond', 'message', 'team', 'axe2x80xa6', 'httpstcoq5orgnuejr']"
28,"['bnotmewhome', 'thank', 'appreciate', 'kristos']"
29,"['bfergzlfc', 'fergz', 'get', 'touch', 'we', 'reply', '5', 'day', 'ago', 'let', 'know', 'youre', 'unable', 'toxe2x80xa6', 'httpstcouojkjidnlt']"
30,"['bd_biggsy', 'daniel', 'sorry', 'get', 'back', 'when', 'arrange', 'transfer', 'kristos']"
31,"['brickbalbert', 'hey', 'rick', 'check', 'uk', 'barclaycard', 'youre', 'need', 'speak', 'lisa']"
32,"['bmymanor', 'ive', 'reply', 'post', 'please', 'check', 'kristos']"
33,"['bmymanor', 'get', 'back', 'the', 'line', 'busy', 'due', 'global', 'pandemic', 'whaxe2x80xa6', 'httpstco7wohqcpztz']"
34,"['bjaaaao49', 'hey', 'jess', 'hear', 'let', 'know', 'reason', 'call', 'ill', 'try', 'help', 'pointxe2x80xa6', 'httpstcoio87q45gl8']"
35,"['bchrislane1313', 'ah', 'thats', 'brilliant', 'chris', 'glad', 'hear', 'sort', 'give', 'shout', 'there', 'anythingxe2x80xa6', 'httpstcokvrb1m4416']"
36,"['bgirlmostlik3ly', 'sophie', 'havenxe2x80x99t', 'heard', 'yet', 'payment', 'holiday', 'xe2x80x93', 'wexe2x80x99re', 'somexe2x80xa6', 'httpstco9pbntyx1kz']"
37,"['bryanhawkes', 'ryan', 'plan', 'support', 'google', 'pay', 'android', 'pay', 'platform', 'that', 'platfxe2x80xa6', 'httpstco1f1rz1mkci']"
38,"['bthereaper08', 'hey', 'simon', 'moment', 'team', 'extremely', 'short', 'staffed', 'due', 'global', 'situation', 'this', 'makxe2x80xa6', 'httpstcofn6ezdnezx']"
39,"['bphilipdegg', 'let', 'know', 'wait', 'time', 'experience', 'ross']"
40,"['bsteveeastbury', 'steve', 'global', 'situation', 'busier', 'usual', 'team', 'arent', 'office', 'wexe2x80xa6', 'httpstcox6g4ety4pi']"
41,"['bs1dahmed', 'sid', 'reply', 'wait', 'speak', 'phone', 'id', 'like', 'looxe2x80xa6', 'httpstcoc9bjtesvhd']"
42,"['bsophiebird5', 'ah', 'ive', 'send', 'link', 'kev', 'httpstcompqb4etryv']"
43,"['blongs1981', 'stuart', 'reply', 'wait', 'speak', 'phone', 'sorryxe2x80xa6', 'httpstcorgy7e4qmbl']"
44,"['bpolsterh', 'polly', 'sorry', 'is', 'website', 'app', 'one', 'particular', 'can', 'mxe2x80xa6', 'httpstcoxx7cacd87p']"
45,"['brt', 'barclaysuk', 'thank', 'everyone', 'join', 'support', 'donate', 'thebignightinappeal', 'through', 'generosity', 'wexe2x80x99ve', 'helpexe2x80xa6']"
46,"['bfran_new', 'ah', 'great', 'news', 'anything', 'else', 'please', 'let', 'know', 'nicola']"
47,"['bleerams99712941', 'in', 'meantime', 'youxe2x80x99ve', 'miss', 'payment', 'either', 'march', 'april', 'youxe2x80x99re', 'worry', 'yxe2x80xa6', 'httpstcoc6ebopyxym']"
48,"['bleerams99712941', 'hi', 'lee', 'get', 'back', 'were', 'experience', 'high', 'demand', 'across', 'allxe2x80xa6', 'httpstcocmu1m9xf3f']"
49,"['btavish_86', 'send', 'discuss', 'little', 'nicola', 'httpstcompqb4etryv']"
50,"['bkatiewi76089189', 'katie', 'access', 'business', 'credit', 'card', 'account', 'best', 'workxe2x80xa6', 'httpstco1ymiwh30pv']"
51,"['bnotmewhome', 'ah', 'great', 'news', 'sound', 'like', 'action', 'have', 'receive', 'email', 'nicola']"
52,"['brob33701727', 'rob', 'reply', 'so', 'try', 'troubleshoot', 'step', 'youxe2x80xa6', 'httpstcoueeh35xira']"
53,"['bmarren80', 'thanks', 'wait', 'to', 'save', 'hang', 'speak', 'someone', 'also', 'dispute', 'transactxe2x80xa6', 'httpstcododnykgqqp']"
54,"['blizmead867', 'glad', 'hear', 'question', 'meantime', 'shout', 'nicola']"
55,"['bif', 'youxe2x80x99re', 'worry', 'income', 'impact', 'coronavirus', 'want', 'help', 'offering', '90day', 'paymexe2x80xa6', 'httpstcop1qdkbaqg0']"
56,"['bvanessoula83', 'owennandrews', 'hi', 'vanessa', 'sorry', 'reply', 'did', 'manage', 'speak', 'anyone', 'notxe2x80xa6', 'httpstcolygrtzheg9']"
57,"['belained32375493', 'elaine', 'disruption', 'normal', 'service', 'with', 'unprecedented', 'numberxe2x80xa6', 'httpstcob2m9chr4rf']"
58,"['bstudunmow', 'stuart', 'staff', 'work', 'quickly', 'possible', 'get', 'extremely', 'high', 'number', 'messxe2x80xa6', 'httpstcopdmeqchau0']"
59,"['bseppy79', 'sorry', 'hear', 'simon', 'manage', 'get', 'sort', 'usually', 'fraud', 'case', 'team', 'send', 'axe2x80xa6', 'httpstcowm0jgecsco']"
60,"['blottynew', 'loreta', 'sorry', 'reply', 'we', 'staff', 'work', 'receive', 'high', 'volumexe2x80xa6', 'httpstcotvdfh1ggtb']"
61,"['bmikeyreynolds01', 'can', 'check', 'business', 'card', 'personal', 'youll', 'speak', 'colleaguesxe2x80xa6', 'httpstcodqlfsd24zi']"
62,"['bvanessamollynz', 'vanessa', 'sorry', 'reply', 'can', 'tell', 'little', 'helxe2x80xa6', 'httpstcorcivkdiuur']"
63,"['bchopefoster', 'apologies', 'catherine', 'sort', 'please', 'look', 'forxe2x80xa6', 'httpstcopfth8xskhn']"
64,"['bmiss_masaya', 'would', 'like', 'explain', 'query', 'little', 'please', 'feel', 'free', 'come', 'wellxe2x80xa6', 'httpstcofog7qemodw']"
65,"['bamcshane123', 'ah', 'youd', 'give', 'team', 'call', '0800', '152', '2888', 'monfri', '9am6pm', 'amp', 'sat', '9am5pm', 'check', 'axe2x80xa6', 'httpstcouyfwkcfzen']"
66,"['bjwp_media_group', 'dont', 'access', 'take', 'minute', 'set', 'just', 'pop', 'across', 'toxe2x80xa6', 'httpstcos9fp8odzyy']"
67,"['bjwp_media_group', 'sorry', 'reply', 'do', 'access', 'mybarclaycard', 'service', 'onlixe2x80xa6', 'httpstcon4sjmv9o0o']"
68,"['bmarkeldridge3', 'mark', 'sorry', 'did', 'manage', 'speak', 'someone', 'brendan', 'httpstcompqb4etryv']"
69,"['b_weddingbelle', 'sorry', 'get', 'did', 'manage', 'speak', 'someone', 'just', 'send', 'mexe2x80xa6', 'httpstcolo2rf6ymvl']"
70,"['bnicole_a_banks', 'sorry', 'get', 'nicole', 'manage', 'speak', 'someone', 'send', 'usxe2x80xa6', 'httpstcouafmetbfn3']"
71,"['bcfo19851', 'you', 'also', 'dispute', 'transaction', 'online', 'right', 'herexe2x80xa6', 'httpstcoyrqizfmlxw']"
72,"['bgc20002000', 'glen', 'ever', 'long', 'hold', 'time', 'get', 'drop', 'stillxe2x80xa6', 'httpstco6u2evgg4uk']"
73,"['btommylowe1000', 'thomas', 'sorry', 'did', 'manage', 'speak', 'anyone', 'tell', 'littlexe2x80xa6', 'httpstcolzigx7lglb']"
74,"['bsamjopus', 'sam', 'wait', 'did', 'manage', 'speak', 'anyone', 'tell', 'exactly', 'whatxe2x80xa6', 'httpstcodxyb6jdf5c']"
75,"['btheoldavenport', 'oliver', 'access', 'website', 'able', 'view', 'pin', 'notxe2x80xa6', 'httpstcotgxl52oa8f']"
76,"['bjanakd', 'jd', 'you', 'request', 'transfer', 'credit', 'balance', 'back', 'bank', 'accoxe2x80xa6', 'httpstcou0ei5ymhdm']"
77,"['bemilyoflanagan', 'ahh', 'okay', 'hear', 'back', 'soon', 'payment', 'holiday', 'emily', 'xf0x9fx98x8a', 'dean']"
78,"['bmiss_masaya', 'there', 'did', 'manage', 'speak', 'someone', 'brendan']"
79,"['bnazir_a_naji', 'ive', 'reply', 'nazir', 'character', 'work', 'brendan']"
80,"['bjohnclunge', 'john', 'reply', 'message', 'brendan']"
81,"['bpoppy_birdx', 'sorry', 'wait', 'did', 'manage', 'speak', 'anyone', 'tell', 'little', 'morxe2x80xa6', 'httpstcogp6sdoxr4g']"
82,"['bbishopfactory', '22', 'ill', 'see', 'help', 'brendan', '22', 'httpstcompqb4etryv']"
83,"['bbishopfactory', 'max', 'sorry', 'we', 'dont', 'think', 'acceptable', 'due', 'few', 'staff', 'high', 'numbxe2x80xa6', 'httpstcou6dvgudmsi']"
84,"['bcarinamac72', 'carina', 'so', 'did', 'get', 'didnt', 'feel', 'free', 'pop', 'andxe2x80xa6', 'httpstcozhd0odoh3o']"
85,"['bjoeferrett', 'joe', 'want', 'pop', 'hit', 'button', 'well', 'see', 'xf0x9fx91x8c', 'cheers', 'bxe2x80xa6', 'httpstcoqsafjq25uv']"
86,"['bmissjrozay', 'sorry', 'hold', 'did', 'manage', 'speak', 'team', 'head', 'buttoxe2x80xa6', 'httpstcoh9qmowtspw']"
87,"['blamb2ja', 'you', 'james', 'stay', 'safe', 'brendan']"
88,"['bgeekdad412', 'sorry', 'adam', 'barclaycard', 'uk', 'it', 'best', 'keep', 'try', 'askbarclaysus', 'monday', 'fridxe2x80xa6', 'httpstco1yqne96dlb']"
89,"['bemilyoflanagan', 'were', 'charge', 'customer', 'late', 'payment', 'fee', 'moment', 'emily', 'able', 'pay', 'dean']"
90,"['bshaunimctaggart', 'were', 'deal', 'many', 'dispute', 'moment', 'take', 'little', 'bit', 'longer', 'usualxe2x80xa6', 'httpstcoxsi8pvfsnq']"
91,"['bloiner84', 'hey', 'elizabeth', 'id', 'like', 'try', 'help', 'please', 'pop', 'get', 'sort', 'stopxe2x80xa6', 'httpstcolwxadl4ssr']"
92,"['bjohnkennedy44', 'thatxe2x80x99s', 'really', 'odd', 'john', 'do', 'log', 'email', 'app', 'try', 'desk', 'top', 'vxe2x80xa6', 'httpstcopcwyhplxpu']"
93,"['blovellylovell', 'emma', 'thank', 'patience', 'moment', 'little', 'busy', 'right', 'amxe2x80xa6', 'httpstcooqr8zjbzrh']"
94,"['btottenhosen', 'kris', 'noticed', 'tweet', 'like', 'see', 'help', 'can', 'let', 'know', 'paidxe2x80xa6', 'httpstco4xtq9jickq']"
95,"['balrobjack', 'alex', 'reply', 'wait', 'speak', 'phone', 'do', 'know', 'youxe2x80xa6', 'httpstcofhkzh1xkt0']"
96,"['blianne2024', 'lianne', 'really', 'wait', 'speak', 'reply', 'can', 'dxe2x80xa6', 'httpstcoaiuwgppmyj']"
97,"['bkater_x', 'hello', 'send', 'form', 'back', 'post', 'ross']"
98,"['b_c1amy', 'hey', 'amy', 'hear', 'youre', 'issue', 'online', 'whats', 'go', 'try', 'feel', 'free', 'poxe2x80xa6', 'httpstcohvmg4tel3i']"
99,"['bjamescooper_94', 'really', 'the', 'secure', 'message', 'service', 'time', '5', 'minute', 'clixe2x80xa6', 'httpstcoim7e0mg5aa']"
100,"['bgaryslatter45', 'gary', 'hear', 'victim', 'fraud', 'glad', 'hear', 'able', 'sort', 'kev']"
101,"['blelecardus', 'leah', 'reply', 'wait', 'speak', 'phone', 'did', 'manaxe2x80xa6', 'httpstcoithbf9yjww']"
102,"['bmummalozza', 'hey', 'thanks', 'reach', 'lozza', 'hear', 'loss', 'want', 'everything', 'canxe2x80xa6', 'httpstcoyskn8jq2ni']"
103,"['bbeth65130001', 'beth', 'apologies', 'ive', 'respond', 'tweet', 'kev']"
104,"['bevieaskew42', 'hey', 'evie', 'thanks', 'get', 'touch', 'this', 'certainly', 'case', 'utmost', 'suxe2x80xa6', 'httpstcogobkndthaq']"
105,"['bfiestaman87', 'could', 'let', 'know', 'annual', 'pas', 'work', 'is', 'september', 'july', 'could', 'ask', 'whatxe2x80xa6', 'httpstcokquyo560e6']"
106,"['bmattygal', 'matt', 'pop', 'well', 'help', 'little', 'long', 'tweet', 'brendan']"
107,"['bmrswhitters', 'sue', 'pop', 'well', 'drop', 'message', 'advice', 'one', 'little', 'large', 'thxe2x80xa6', 'httpstcoqt4l5gw1yh']"
108,"['blfcbull', 'cant', 'raise', 'fraud', 'dispute', 'social', 'medium', 'try', 'tomorrow', 'hopefxe2x80xa6', 'httpstcof16vgdbcdt']"
109,"['bhosey_morgan', 'ill', 'reply', 'private', 'message', 'john', 'cass']"
110,"['brandomjill', 'hmm', 'odd', 'come', 'full', 'name', 'post', 'code', 'please', 'well', 'take', 'lookxe2x80xa6', 'httpstco12uhijdrqu']"
111,"['bgemsactiderm', 'ive', 'reply', 'gemma', 'nikki']"
112,"['bnick_she89', 'nicholas', 'sure', 'error', 'mean', 'are', 'send', 'payment', 'barclays', 'account', 'pxe2x80xa6', 'httpstcojviim9r5yp']"
113,"['bcallumjohn28', 'ah', 'able', 'make', 'enough', 'payment', 'keep', 'limit', 'callum', 'cass']"
114,"['bg_bonfiglio', 'ah', 'sound', 'like', 'bit', 'star', 'giorgio', 'sure', 'stretch', 'statue', 'ill', 'absolxe2x80xa6', 'httpstcobrfb2a0zjf']"
115,"['bamywade_xx', 'amy', 'message', 'wish', 'see', 'arrange', 'dispute', 'find', 'axe2x80xa6', 'httpstcoobhht1yz3n']"
116,"['btripc0de', 'sorry', 'michael', 'like', 'andy', 'say', 'would', 'speak', 'customer', 'service', 'arrange', 'balance', 'transxe2x80xa6', 'httpstcou28tlkwcj9']"
117,"['b466gw', 'there', 'team', 'member', 'take', 'call', 'day', '8am', '8pm', '0800', '151', '0xe2x80xa6', 'httpstcokqjqulhdry']"
118,"['bwrittenmirror', 'jay', 'really', 'work', 'hard', 'deal', 'amount', 'querxe2x80xa6', 'httpstco86lr4tf2er']"
119,"['balex_iot', 'alex', 'little', 'behind', 'get', 'back', 'customer', 'get', 'therexe2x80xa6', 'httpstcoxaexik1ube']"
120,"['brt', 'barclaysuk', 'the', 'time', 'finally', 'herexe2x80xa6tune', 'bbc', 'one', 'watch', 'thebignightin', '7pm', 'httpstcoplsucwr7jt']"
121,"['bmspill01', 'let', 'know', 'team', 'get', 'back', 'soon', 'please', 'let', 'know', 'anything', 'else', 'lisa']"
122,"['bpaindiane', 'msnbc', 'cnn', 'foxnews', 'nerdwallet', 'credcardgenius', 'diane', 'youve', 'contact', 'barclaycard', 'uk', 'notxe2x80xa6', 'httpstcowak4qoaoao']"
123,"['bpaindiane', 'diane', 'youve', 'contact', 'barclaycard', 'uk', 'able', 'help', 'askbarclaysus', 'availaxe2x80xa6', 'httpstcoz3wfaxst4k']"
124,"['bcarthyb', 'what', 'help', 'brendan', 'you', 'send', 'youd', 'prefer', 'sarah']"
125,"['bjohnsonator85', 'marc', 'take', 'long', 'come', 'back', 'work', 'hard', 'cxe2x80xa6', 'httpstcowinf4maqaq']"
126,"['bms_ogechiu', 'good', 'know', 'thanks', 'let', 'know', 'xf0x9fx91x8d', 'brendan']"
127,"['bkirstymccoid', 'kirsty', 'thats', 'great', 'trouble', 'get', 'access', 'yourxe2x80xa6', 'httpstcoloo3yl22x7']"
128,"['bbeccajollyy', 'becca', 'reply', 'notice', 'havent', 'heard', 'back', 'uxe2x80xa6', 'httpstcozte5kycfiv']"
129,"['b6starranks', 'havent', 'heard', 'back', 'yet', 'appreciate', 'worry', 'youll', 'the', 'team', 'busxe2x80xa6', 'httpstcoc2lj2ozcyl']"
130,"['bbooeybok', 'no', 'problem', 'kate', 'patience', 'please', 'father', 'law', 'name', 'post', 'code', 'phone', 'numberxe2x80xa6', 'httpstcodatzlbswhl']"
131,"['bkerbyemily', 'hi', 'emily', 'reply', 'how', 'submit', 'dispute', 'nicola']"
132,"['bdec_900', 'dec', 'sorry', 'case', 'we', 'check', 'status', 'name', 'post', 'code', 'andxe2x80xa6', 'httpstcody12zspxcj']"
133,"['baussieharj', 'harj', 'happen', 'have', 'manage', 'get', 'sort', 'since', 'brendan']"
134,"['bleah_reynoldsx', 'leah', 'sound', 'like', 'havent', 'bill', 'already', 'make', 'payment', 'recent', 'statxe2x80xa6', 'httpstcoiftoynqbhr']"
135,"['bms_ogechiu', 'have', 'try', 'clearing', 'cache', 'cooky', 'close', 'browser', 'try', 'brendan']"
136,"['bms_ogechiu', 'ogechi', 'you', 'drop', 'secure', 'message', 'log', 'barclaycard', 'online', 'service', 'once', 'online', 'dxe2x80xa6', 'httpstcomlfusbpiaw']"
137,"['bjennie_eq', 'hey', 'jennie', 'could', 'come', 'full', 'name', 'post', 'code', 'please', 'chaxe2x80xa6', 'httpstco4nlh1nivan']"
138,"['bneutronflow', 'danny', 'appreciate', 'come', 'currently', 'payment', 'method', 'arent', 'roaxe2x80xa6', 'httpstco4cuphpquno']"
139,"['bmacgregordude', 'yes', 'sure', 'ive', 'pop', 'link', 'kristos', 'httpstcompqb4etryv']"
140,"['blfcbull', 'oh', 'hear', 'fraud', 'take', 'place', 'account', 'did', 'manage', 'speak', 'witxe2x80xa6', 'httpstcowcpdj8yvd6']"
141,"['bfran_new', 'fran', 'sorry', 'is', 'change', 'personal', 'credit', 'card', 'account', 'brendan']"
142,"['brwb4590', 'ryan', 'dont', 'eta', 'afraid', 'can', 'post', 'code', 'full', 'name', 'well', 'look', 'inxe2x80xa6', 'httpstcoyfma5xzuqx']"
143,"['btim_waghorn', 'tim', 'reply', 'wait', 'speak', 'phone', 'ive', 'respond', 'kev']"
144,"['brobbie_dazzler', 'rob', 'sorry', 'reply', 'we', 'troubleshoot', 'step', 'tryxe2x80xa6', 'httpstcodbpeunnuar']"
145,"['bstupreston', 'stuart', 'sorry', 'cant', 'get', 'drop', 'full', 'name', 'postcode', 'contact', 'nxe2x80xa6', 'httpstcozf7h5l8hp5']"
146,"['bhorsfordcpa', 'sorry', 'apologies', 'ive', 'noticed', 'location', 'profile', 'youve', 'reach', 'barclaycardxe2x80xa6', 'httpstcobqgnhzio9s']"
147,"['bmattya5419', 'matty', 'uk', 'team', 'cannot', 'help', 'askbarclaysus', 'available', '9am', '5pxe2x80xa6', 'httpstcoud6q4mieap']"
148,"['bhorsfordcpa', 'sorry', 'dont', 'understand', 'mean', 'balance', 'card', 'would', 'payxe2x80xa6', 'httpstcoj8u395ym3e']"
149,"['bcliffcartwright', 'our', 'team', 'work', 'hard', 'odds', 'cliff', 'we', 'appreciate', 'time', 'takixe2x80xa6', 'httpstcob5th2vybiw']"
150,"['bpaulrhoughton', 'paul', 'hear', 'youve', 'hear', 'back', 'yet', 'did', 'process', 'online', 'cxe2x80xa6', 'httpstcozqlop8pmiw']"
151,"['bcolloghi', 'there', 'sorry', 'youre', 'issue', 'make', 'payment', 'barclaycard', 'youd', 'like', 'take', 'axe2x80xa6', 'httpstcoklytdnpshm']"
152,"['btishtoshtee', 'we', 'cant', 'access', 'account', 'help', 'via', 'social', 'medium', 'afraid', 'the', 'best', 'thing', 'would', 'give', 'txe2x80xa6', 'httpstcoarxkuq9kpt']"
153,"['bdsa0905', 'danielle', 'reply', 'wait', 'speak', 'phone', 'did', 'manxe2x80xa6', 'httpstcojayovqxqrf']"
154,"['btavish_86', 'hiya', 'andy', 'thanks', 'patience', 'wed', 'keep', 'fund', 'one', 'side', 'could', 'arrange', 'get', 'themxe2x80xa6', 'httpstcoaswurv5jqo']"
155,"['bneilhector', 'neil', 'sorry', 'reply', 'we', 'troubleshoot', 'step', 'try', 'yxe2x80xa6', 'httpstco1bgdmqslkj']"
156,"['bmp81safc', 'no', 'worry', 'mark', 'take', 'care', 'stay', 'safe', 'dan']"
157,"['bchrislane1313', 'chris', 'thanks', 'wait', 'couldnt', 'give', 'estimate', 'afraid', 'ive', 'see', 'somexe2x80xa6', 'httpstcodaq4vwpbrc']"
158,"['bfiestaman87', 'stephen', 'thanks', 'patience', 'do', 'mean', 'want', 'get', 'remainder', 'fund', 'backxe2x80xa6', 'httpstco5uy7flgjcl']"
159,"['bjamescooper_94', 'ah', 'apology', 'could', 'try', 'clear', 'cache', 'cooky', 'try', 'different', 'browserxe2x80xa6', 'httpstco0tpsbuj1eu']"
160,"['bjennife09331885', 'jennifer', 'so', 'long', 'hold', 'time', 'to', 'save', 'hang', 'speak', 'someone', 'canxe2x80xa6', 'httpstcors9ungfox5']"
161,"['bamandajacobs100', 'amanda', 'reply', 'see', 'colleague', 'pick', 'let', 'kxe2x80xa6', 'httpstcorn9neeeh5j']"
162,"['blaurengxdfrey', 'lauren', 'ive', 'reply', 'nic']"
163,"['barchesukrob', 'hey', 'rob', 'thanks', 'tweet', 'what', 'try', 'pop', 'youd', 'prefer', 'ashleigh', 'httpstcompqb4el2qt']"
164,"['bnimmo_7', 'liam', 'havent', 'stop', 'interest', 'credit', 'card', 'heres', 'link', 'info', 'support', 'ourxe2x80xa6', 'httpstcoc03qyztjwv']"
165,"['bmichelle_ianson', 'hello', 'michelle', 'thanks', 'message', 'when', 'say', 'youve', 'raise', 'raixe2x80xa6', 'httpstcod9abc8sby7']"
166,"['bhorsfordcpa', 'hello', 'thanks', 'tweet', 'appreciate', 'frustrate', 'two', 'way', 'txe2x80xa6', 'httpstcoo3kq9ygzm9']"
167,"['bmgrayso86353221', 'thats', 'great', 'news', 'glad', 'dean', 'could', 'help', 'nnstay', 'safe', 'nbrendan']"
168,"['braymondphill', 'hi', 'raymond', 'sorry', 'reply', 'could', 'pop', 'we', 'discuss', 'nexe2x80xa6', 'httpstcoyj1xslrcwu']"
169,"['bowennandrews', 'owen', 'team', 'office', 'ill', 'reply', 'nikki']"
170,"['boggieoi', 'tuiuk', 'however', 'youre', 'unable', 'get', 'refund', 'two', 'method', 'read', 'protecxe2x80xa6', 'httpstcordzvyew5hs']"
171,"['boggieoi', 'tuiuk', 'first', 'thing', 'would', 'ask', 'tui', 'refund', 'theyre', 'unable', 'offer', 'refund', 'youd', 'needxe2x80xa6', 'httpstcolf6rplan3h']"
172,"['boggieoi', 'tuiuk', 'oggy', 'sorry', 'reply', 'although', 'know', 'cancellation', 'likely', 'wed', 'neexe2x80xa6', 'httpstcoxl0e0mbg2h']"
173,"['bnotmewhome', 'advise', 'take', 'nine', 'work', 'day', 'hopefully', 'youll', 'hear', 'today', 'tomorrow', 'cass']"
174,"['bdarrenmannam1', 'darren', 'long', 'hold', 'time', 'relation', 'online', 'app', 'issue', 'lxe2x80xa6', 'httpstcomoihgsxlnp']"
175,"['bburble61', 'aw', 'thanks', 'message', 'we', 'think', 'shes', 'great', 'ill', 'let', 'know', 'xf0x9fx98x8a', 'nicola']"
176,"['b14pricey14', 'we', 'page', 'dedicated', 'give', 'tool', 'information', 'please', 'sxe2x80xa6', 'httpstcosfbhfniwko']"
177,"['blamb2ja', 'james', 'nnsorry', 'forget', 'back', 'latennyou', 'request', 'transfer', 'credit', 'balance', 'bxe2x80xa6', 'httpstco7lpjxqeobh']"
178,"['bgormleyb', 'ah', 'see', 'so', 'run', 'run', 'troubleshoot', 'step', 'could', 'please', 'pop', 'toxe2x80xa6', 'httpstcos1elcu7kwj']"
179,"['bporkchoppers2', 'sorry', 'reply', 'youd', 'contact', 'ryanair', 'request', 'refund', 'butxe2x80xa6', 'httpstconjhnmuznj9']"
180,"['bjayturnr', 'j', 'sorry', 'reply', 'youve', 'used', 'barclaycard', 'purchase', 'ticket', 'youd', 'fixe2x80xa6', 'httpstcodwzqfaufss']"
181,"['bfitzgsp', 'great', 'news', 'xf0x9fx91x8d', 'again', 'anything', 'else', 'please', 'let', 'know', 'nicola']"
182,"['bgormleyb', 'take', 'minute', 'sign', 'pop', 'httpstcoslprcvbk3e', 'select', 'regixe2x80xa6', 'httpstcoegzx7hoxja']"
183,"['bgormleyb', 'thats', 'strange', 'long', 'error', 'showing', 'also', 'access', 'mybarxe2x80xa6', 'httpstcopyplcbazg6']"
